CPU (User Time): 97305.56s | CPU (System Time): 24448.57s | Memória Usada: 7705.72265625 MiB de 15752.23046875 MiB | GPU: 12% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97308.68s | CPU (System Time): 24449.27s | Memória Usada: 7819.98046875 MiB de 15752.23046875 MiB | GPU: 14% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97312.33s | CPU (System Time): 24450.16s | Memória Usada: 7871.40625 MiB de 15752.23046875 MiB | GPU: 45% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97315.62s | CPU (System Time): 24450.96s | Memória Usada: 7910.92578125 MiB de 15752.23046875 MiB | GPU: 22% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97319.0s | CPU (System Time): 24451.74s | Memória Usada: 7828.16015625 MiB de 15752.23046875 MiB | GPU: 13% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97322.8s | CPU (System Time): 24452.63s | Memória Usada: 7835.7578125 MiB de 15752.23046875 MiB | GPU: 39% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97326.3s | CPU (System Time): 24453.46s | Memória Usada: 7854.8046875 MiB de 15752.23046875 MiB | GPU: 27% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97330.75s | CPU (System Time): 24454.26s | Memória Usada: 7921.3046875 MiB de 15752.23046875 MiB | GPU: 18% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97334.44s | CPU (System Time): 24455.07s | Memória Usada: 8049.6484375 MiB de 15752.23046875 MiB | GPU: 31% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97337.79s | CPU (System Time): 24455.9s | Memória Usada: 8042.63671875 MiB de 15752.23046875 MiB | GPU: 15% | GPU Memória: 54 MiB de 6144 MiB
CPU (User Time): 97340.86s | CPU (System Time): 24456.65s | Memória Usada: 7863.9765625 MiB de 15752.23046875 MiB | GPU: 28% | GPU Memória: 54 MiB de 6144 MiB
